model_id,csv_name,model_label,params,accuracy,pct_profit_mean,pct_profit_median,FPR,correct_arb_neg1,correct_arb_1,correct_arb,precision_neg1,precision_0,precision_1,recall_neg1,recall_0,recall_1,f1_neg1,f1_0,f1_1,pct_class_1,pct_class_neg1,pct_class_0,bl_accuracy_diff,bl_pct_profit_mean_diff,bl_precision_neg1_diff,bl_precision_0_diff,bl_precision_1_diff,bl_recall_neg1_diff,bl_recall_0_diff,bl_recall_1_diff,ta_feat_accuracy_diff,ta_feat_pct_profit_mean_diff,ta_feat_precision_neg1_diff,ta_feat_precision_0_diff,ta_feat_precision_1_diff,ta_feat_recall_neg1_diff,ta_feat_recall_0_diff,ta_feat_recall_1_diff,hyper_accuracy_diff,hyper_pct_profit_mean_diff,hyper_precision_neg1_diff,hyper_precision_0_diff,hyper_precision_1_diff,hyper_recall_neg1_diff,hyper_recall_0_diff,hyper_recall_1_diff
gemini_bitfinex_ltc_btc_rf_hyper_50_17_100,gemini_bitfinex_ltc_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 100}",1.0,0.52,0.47,0.0,468,625,1093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07,0.06,0.86,,,,,,,,,,,,,,,,,-0.024836929252383063,-0.024836929252383063,-0.024836929252383063,-0.024836929252383063,-0.024836929252383063,-0.024836929252383063,-0.024836929252383063,-0.024836929252383063
gemini_bitfinex_ltc_btc_rf_bl,gemini_bitfinex_ltc_btc,rf_bl,{},0.9998776009791922,0.52,0.47,inf,468,624,1092,1.0,0.9998587171517378,1.0,1.0,1.0,0.9984,1.0,0.9999293535853055,0.9991993594875899,0.07,0.06,0.86,-0.04663677130044846,-0.04663677130044846,-0.04663677130044846,-0.04663677130044846,-0.04663677130044846,-0.04663677130044846,-0.04663677130044846,-0.04663677130044846,,,,,,,,,,,,,,,,
gemini_bitfinex_bch_btc_rf,gemini_bitfinex_bch_btc,rf,{},0.9501615136132904,1.5,1.14,0.07166556071665561,440,220,660,1.0,0.9283344392833444,1.0,0.8627450980392157,1.0,0.8527131782945736,0.9263157894736842,0.962835512732278,0.9205020920502092,0.16,0.16,0.68,,,,,,,,,0.04896073903002304,0.04896073903002304,0.04896073903002304,0.04896073903002304,0.04896073903002304,0.04896073903002304,0.04896073903002304,0.04896073903002304,,,,,,,,
gemini_bitfinex_bch_btc_rf_hyper_50_17_150,gemini_bitfinex_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 50, 'n_estimators': 150}",1.0,1.39,1.05,0.0,510,258,768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,0.16,0.68,,,,,,,,,,,,,,,,,-0.05245264691597851,-0.05245264691597851,-0.05245264691597851,-0.05245264691597851,-0.05245264691597851,-0.05245264691597851,-0.05245264691597851,-0.05245264691597851
gemini_bitfinex_bch_btc_rf_bl,gemini_bitfinex_bch_btc,rf_bl,{},0.9990770650669129,1.39,1.05,inf,508,258,766,1.0,0.9985724482512492,1.0,0.996078431372549,1.0,1.0,0.9980353634577604,0.9992857142857142,1.0,0.16,0.16,0.68,-0.07926221335992009,-0.07926221335992009,-0.07926221335992009,-0.07926221335992009,-0.07926221335992009,-0.07926221335992009,-0.07926221335992009,-0.07926221335992009,,,,,,,,,,,,,,,,
gemini_bitfinex_bch_btc_lr_bl,gemini_bitfinex_bch_btc,lr_bl,{},0.9257037378864792,1.39,1.04,4.752710667545429,467,239,706,0.8946360153256705,0.9544787077826724,0.8445229681978799,0.915686274509804,0.9292351679771264,0.9263565891472868,0.9050387596899224,0.9416877942774357,0.8835489833641405,0.16,0.16,0.68,,,,,,,,,,,,,,,,,,,,,,,,
cbpro_gemini_bch_btc_lr_bl,cbpro_gemini_bch_btc,lr_bl,{},0.9298569450853716,1.75,1.36,4.5898954703832775,162,418,580,0.8852459016393442,0.9175191815856778,0.9952380952380953,0.6532258064516129,0.9842249657064472,0.9067245119305856,0.7517401392111369,0.9497021839841164,0.948921679909194,0.15,0.16,0.7,,,,,,,,,,,,,,,,,,,,,,,,
cbpro_gemini_bch_btc_rf,cbpro_gemini_bch_btc,rf,{},0.9321642824180896,1.57,1.32,0.09158878504672896,147,415,562,1.0,0.908411214953271,1.0,0.592741935483871,1.0,0.9002169197396963,0.7443037974683544,0.952007835455436,0.9474885844748858,0.15,0.16,0.7,,,,,,,,,0.06697459584295613,0.06697459584295613,0.06697459584295613,0.06697459584295613,0.06697459584295613,0.06697459584295613,0.06697459584295613,0.06697459584295613,,,,,,,,
cbpro_gemini_bch_btc_rf_hyper_60_17_100,cbpro_gemini_bch_btc,rf_hyper,"{'max_depth': 17, 'max_features': 60, 'n_estimators': 100}",1.0,1.5,1.12,0.0,248,461,709,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.16,0.7,,,,,,,,,,,,,,,,,-0.07277227722772271,-0.07277227722772271,-0.07277227722772271,-0.07277227722772271,-0.07277227722772271,-0.07277227722772271,-0.07277227722772271,-0.07277227722772271
cbpro_gemini_bch_btc_rf_bl,cbpro_gemini_bch_btc,rf_bl,{},0.9990770650669129,1.5,1.13,inf,248,459,707,1.0,0.9986301369863012,1.0,1.0,1.0,0.9956616052060736,1.0,0.9993145990404386,0.9978260869565216,0.15,0.16,0.7,-0.07444168734491304,-0.07444168734491304,-0.07444168734491304,-0.07444168734491304,-0.07444168734491304,-0.07444168734491304,-0.07444168734491304,-0.07444168734491304,,,,,,,,,,,,,,,,
